"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14192893","JK249493","2026-05-07T00:00:00.000","071XX W 60TH ST","0710","THEFT","THEFT FROM MOTOR VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0812","008","13","64","06","1129804","1863898","2026","2026-05-14T15:42:45.000","41.78280918","-87.799651489","
,  
(41.78280918, -87.799651489)"
"14190847","JK246915","2026-05-07T00:00:00.000","112XX S LANGLEY AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","RESIDENCE","false","false","0531","005","9","50","14","1182918","1830608","2026","2026-05-14T15:42:45.000","41.690388001","-87.605950704","
,  
(41.690388001, -87.605950704)"
"14190286","JK246135","2026-05-07T00:00:00.000","005XX N LARAMIE AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","1532","015","37","25","06","1141611","1902863","2026","2026-05-14T15:42:45.000","41.889525629","-87.755401321","
,  
(41.889525629, -87.755401321)"
"14192350","JK248446","2026-05-07T00:00:00.000","073XX S LUELLA AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","0333","003","7","43","06","1192487","1856699","2026","2026-05-14T15:42:45.000","41.76175714","-87.57007172","
,  
(41.76175714, -87.57007172)"
"14189332","JK244990","2026-05-06T23:50:00.000","107XX S WABASH AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","APARTMENT","false","false","0513","005","9","49","14","1178481","1833692","2026","2026-05-14T15:42:45.000","41.698952603","-87.622101432","
,  
(41.698952603, -87.622101432)"
"14189528","JK245208","2026-05-06T23:47:00.000","109XX S BUFFALO AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","0432","004","10","52","14","1199877","1832946","2026","2026-05-14T15:42:45.000","41.696393955","-87.543785757","
,  
(41.696393955, -87.543785757)"
"14189378","JK245028","2026-05-06T23:47:00.000","027XX S WHIPPLE ST","2896","PUBLIC PEACE VIOLATION","TIRE DEFLATION DEVICE DEPLOYMENT","STREET","true","false","1033","010","25","30","24","1156471","1885717","2026","2026-05-14T15:42:45.000","41.84218759","-87.701292389","
,  
(41.84218759, -87.701292389)"
"14189333","JK244992","2026-05-06T23:40:00.000","016XX W MADISON ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","true","1224","012","27","28","14","1165476","1900090","2026","2026-05-14T15:42:45.000","41.881441785","-87.667837814","
,  
(41.881441785, -87.667837814)"
"14190341","JK244974","2026-05-06T23:20:00.000","039XX W 47TH ST","0860","THEFT","RETAIL THEFT","DRUG STORE","false","false","0821","008","14","57","06","1150702","1873176","2026","2026-05-14T15:42:45.000","41.807887928","-87.722790148","
,  
(41.807887928, -87.722790148)"
"14189355","JK244986","2026-05-06T23:15:00.000","047XX S DREXEL BLVD","2860","PUBLIC PEACE VIOLATION","FALSE POLICE REPORT","APARTMENT","true","false","0223","002","4","39","24","1182988","1873715","2026","2026-05-14T15:42:45.000","41.808676568","-87.604357357","
,  
(41.808676568, -87.604357357)"
"14189606","JK245193","2026-05-06T23:10:00.000","049XX N NATCHEZ AVE","5001","OTHER OFFENSE","OTHER CRIME INVOLVING PROPERTY","STREET","false","false","1613","016","41","10","26","1132226","1932558","2026","2026-05-14T15:42:45.000","41.971180491","-87.789175479","
,  
(41.971180491, -87.789175479)"
"14189334","JK244961","2026-05-06T23:09:00.000","009XX E 133RD ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","CHA APARTMENT","true","true","0533","005","10","54","08B","1185343","1817293","2026","2026-05-14T15:42:45.000","41.653793261","-87.597489018","
,  
(41.653793261, -87.597489018)"
"14189346","JK244978","2026-05-06T23:07:00.000","049XX W HURON ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1531","015","37","25","08B","1143384","1904190","2026","2026-05-14T15:42:45.000","41.893134119","-87.74885684","
,  
(41.893134119, -87.74885684)"
"14189389","JK244989","2026-05-06T23:03:00.000","028XX W FLOURNOY ST","2820","OTHER OFFENSE","TELEPHONE THREAT","APARTMENT","false","false","1135","011","28","27","08A","1157609","1896908","2026","2026-05-14T15:42:45.000","41.872873835","-87.696811792","
,  
(41.872873835, -87.696811792)"
"14189674","JK245475","2026-05-06T23:00:00.000","017XX N SPAULDING AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1422","014","26","23","07","1153867","1911532","2026","2026-05-14T15:42:45.000","41.913078836","-87.710160526","
,  
(41.913078836, -87.710160526)"
"14189638","JK245213","2026-05-06T23:00:00.000","019XX S CANALPORT AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","1235","012","25","31","06","1172381","1891005","2026","2026-05-14T15:42:45.000","41.856362166","-87.64275149","
,  
(41.856362166, -87.64275149)"
"14189341","JK244975","2026-05-06T23:00:00.000","002XX E ILLINOIS ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1834","018","2","8","08B","1178165","1903670","2026","2026-05-14T15:42:45.000","41.890986027","-87.62113571","
,  
(41.890986027, -87.62113571)"
"14189633","JK245211","2026-05-06T23:00:00.000","019XX S CANALPORT AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","1235","012","25","31","06","1172457","1891051","2026","2026-05-14T15:42:45.000","41.856486716","-87.642471174","
,  
(41.856486716, -87.642471174)"
"14190711","JK246452","2026-05-06T23:00:00.000","072XX S ALBANY AVE","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE","false","false","0831","008","18","66","11","1156958","1856435","2026","2026-05-14T15:42:45.000","41.761823974","-87.700296634","
,  
(41.761823974, -87.700296634)"
"14189405","JK244969","2026-05-06T23:00:00.000","047XX S DREXEL BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0223","002","4","39","08B","1182988","1873715","2026","2026-05-14T15:42:45.000","41.808676568","-87.604357357","
,  
(41.808676568, -87.604357357)"
"14189759","JK245554","2026-05-06T23:00:00.000","030XX W 21ST PL","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","1022","010","24","30","07","1156450","1889560","2026","2026-05-14T15:42:45.000","41.852733644","-87.701265656","
,  
(41.852733644, -87.701265656)"
"14192675","JK249069","2026-05-06T23:00:00.000","107XX S HOXIE AVE","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE","false","false","0434","004","10","51","26","1195223","1834391","2026","2026-05-14T15:42:45.000","41.700474992","-87.560778046","
,  
(41.700474992, -87.560778046)"
"14189818","JK245468","2026-05-06T23:00:00.000","059XX N SHERIDAN RD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","2022","020","48","77","08B","1168560","1939523","2026","2026-05-14T15:42:45.000","41.989581611","-87.655368494","
,  
(41.989581611, -87.655368494)"
"14189542","JK245209","2026-05-06T23:00:00.000","019XX S CANALPORT AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","1235","012","25","31","06","1172541","1891102","2026","2026-05-14T15:42:45.000","41.856624809","-87.642161345","
,  
(41.856624809, -87.642161345)"
"14189503","JK245224","2026-05-06T23:00:00.000","0000X N LAVERGNE AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","1533","015","28","25","07","1143051","1899748","2026","2026-05-14T15:42:45.000","41.880950956","-87.750190703","
,  
(41.880950956, -87.750190703)"
"14189382","JK245002","2026-05-06T23:00:00.000","042XX W POTOMAC AVE","1121","DECEPTIVE PRACTICE","COUNTERFEITING DOCUMENT","STREET","false","false","2534","025","37","23","10","1147975","1908323","2026","2026-05-14T15:42:45.000","41.904388451","-87.731889224","
,  
(41.904388451, -87.731889224)"
"14189325","JK244957","2026-05-06T22:53:00.000","038XX W 62ND ST","051A","ASSAULT","AGGRAVATED - HANDGUN","STREET","false","false","0823","008","23","65","04A","1151924","1863220","2026","2026-05-14T15:42:45.000","41.780543275","-87.718569254","
,  
(41.780543275, -87.718569254)"
"14189386","JK245027","2026-05-06T22:46:00.000","038XX W MONTROSE AVE","2890","PUBLIC PEACE VIOLATION","OTHER VIOLATION","PARKING LOT / GARAGE (NON RESIDENTIAL)","true","false","1723","017","33","14","24","1149783","1928961","2026","2026-05-14T15:42:45.000","41.960985913","-87.724709733","
,  
(41.960985913, -87.724709733)"
"14190110","JK244946","2026-05-06T22:44:00.000","009XX W WASHINGTON BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","ALLEY","false","true","1224","012","27","28","08B","1170187","1900728","2026","2026-05-14T15:42:45.000","41.883090953","-87.650520679","
,  
(41.883090953, -87.650520679)"
"14189315","JK244943","2026-05-06T22:36:00.000","022XX E 83RD ST","5111","OTHER OFFENSE","GUN OFFENDER - ANNUAL REGISTRATION","STREET","true","false","0414","004","8","46","26","1192541","1850377","2026","2026-05-14T15:42:45.000","41.744407735","-87.570079364","
,  
(41.744407735, -87.570079364)"
"14189356","JK244966","2026-05-06T22:35:00.000","065XX S KEDZIE AVE","1330","CRIMINAL TRESPASS","TO LAND","GAS STATION","true","false","0831","008","14","66","26","1156172","1861266","2026","2026-05-14T15:42:45.000","41.775096813","-87.703047685","
,  
(41.775096813, -87.703047685)"
"14193982","JK250763","2026-05-06T22:34:00.000","015XX N WOOD ST","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","OTHER (SPECIFY)","false","false","1433","014","1","24","11","1164109","1910527","2026","2026-05-14T15:42:45.000","41.910110679","-87.672562212","
,  
(41.910110679, -87.672562212)"
"14189339","JK244960","2026-05-06T22:31:00.000","051XX N MILWAUKEE AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","OTHER (SPECIFY)","false","false","1623","016","45","11","08A","1138424","1933673","2026","2026-05-14T15:42:45.000","41.974129858","-87.766357256","
,  
(41.974129858, -87.766357256)"
"14189869","JK245741","2026-05-06T22:30:00.000","053XX S PULASKI RD","1330","CRIMINAL TRESPASS","TO LAND","RESTAURANT","false","false","0815","008","23","62","26","1150611","1868822","2026","2026-05-14T15:42:45.000","41.795941684","-87.723237266","
,  
(41.795941684, -87.723237266)"
"14192341","JK248654","2026-05-06T22:30:00.000","087XX S THROOP ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","2222","022","21","71","08B","1169188","1846813","2026","2026-05-14T15:42:45.000","41.735164171","-87.655749937","
,  
(41.735164171, -87.655749937)"
"14189452","JK245116","2026-05-06T22:30:00.000","025XX S WENTWORTH AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","ALLEY","false","false","0914","009","11","34","07","1175352","1887256","2026","2026-05-14T15:42:45.000","41.846008546","-87.631958868","
,  
(41.846008546, -87.631958868)"
"14189547","JK245290","2026-05-06T22:30:00.000","035XX N ASHLAND AVE","0495","BATTERY","AGGRAVATED OF A SENIOR CITIZEN","OTHER (SPECIFY)","false","false","1922","019","47","6","04B","1165022","1923591","2026","2026-05-14T15:42:45.000","41.945939704","-87.668836294","
,  
(41.945939704, -87.668836294)"
"14189310","JK244938","2026-05-06T22:20:00.000","024XX S SACRAMENTO AVE","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","true","false","1033","010","25","30","15","1156750","1887552","2026","2026-05-14T15:42:45.000","41.847217402","-87.700218894","
,  
(41.847217402, -87.700218894)"
"14189739","JK245303","2026-05-06T22:00:00.000","002XX E 107TH ST","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","0513","005","9","49","06","1179560","1834063","2026","2026-05-14T15:42:45.000","41.699946159","-87.618139382","
,  
(41.699946159, -87.618139382)"
"14190136","JK245085","2026-05-06T22:00:00.000","028XX N TALMAN AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300",,"false","false","1411","014","35","21","11","1158219","1918761","2026","2026-05-14T15:42:45.000","41.932827865","-87.693974215","
,  
(41.932827865, -87.693974215)"
"14189959","JK245911","2026-05-06T22:00:00.000","031XX N HUDSON AVE","0917","MOTOR VEHICLE THEFT","CYCLE, SCOOTER, BIKE WITH VIN","STREET","false","false","1934","019","44","6","07","1172637","1921323","2026","2026-05-14T15:42:45.000","41.939550824","-87.640913706","
,  
(41.939550824, -87.640913706)"
"14190998","JK247141","2026-05-06T22:00:00.000","029XX W PALMER ST","0710","THEFT","THEFT FROM MOTOR VEHICLE","ALLEY","false","false","1414","014","1","22","06","1156419","1914677","2026","2026-05-14T15:42:45.000","41.921657704","-87.700699796","
,  
(41.921657704, -87.700699796)"
"14190179","JK245751","2026-05-06T22:00:00.000","0000X W HUBBARD ST","0890","THEFT","FROM BUILDING","RESIDENCE","false","false","1831","018","42","8","06","1176050","1903312","2026","2026-05-14T15:42:45.000","41.890051565","-87.62891376","
,  
(41.890051565, -87.62891376)"
"14189409","JK244928","2026-05-06T21:45:00.000","001XX N MORGAN ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1224","012","27","28","07","1169745","1901452","2026","2026-05-14T15:42:45.000","41.885087299","-87.652122612","
,  
(41.885087299, -87.652122612)"
"14189295","JK244940","2026-05-06T21:42:00.000","008XX E 81ST ST","2024","NARCOTICS","POSSESS - HEROIN (WHITE)","SIDEWALK","true","false","0631","006","8","44","18","1183224","1851473","2026","2026-05-14T15:42:45.000","41.747636981","-87.604183484","
,  
(41.747636981, -87.604183484)"
"14189306","JK244926","2026-05-06T21:41:00.000","056XX W ADDISON ST","0281","CRIMINAL SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE","false","false","1633","016","30","15","02","1138069","1923370","2026","2026-05-14T15:42:45.000","41.945863902","-87.767912706","
,  
(41.945863902, -87.767912706)"
"14189312","JK244922","2026-05-06T21:40:00.000","044XX S RICHMOND ST","2022","NARCOTICS","POSSESS - COCAINE","STREET","true","false","0922","009","12","58","18","1157440","1875045","2026","2026-05-14T15:42:45.000","41.812882697","-87.698026036","
,  
(41.812882697, -87.698026036)"
"14189575","JK244971","2026-05-06T21:40:00.000","043XX S PRINCETON AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0925","009","20","37","07","1175015","1875973","2026","2026-05-14T15:42:45.000","41.815054587","-87.633532934","
,  
(41.815054587, -87.633532934)"
"14189370","JK244944","2026-05-06T21:37:00.000","007XX E 60TH ST","0560","ASSAULT","SIMPLE","APARTMENT","false","true","0313","003","20","42","08A","1182179","1865389","2026","2026-05-14T15:42:45.000","41.785848109","-87.607582382","
,  
(41.785848109, -87.607582382)"
"14189263","JK244901","2026-05-06T21:35:00.000","026XX W 24TH PL","0810","THEFT","OVER $500","APARTMENT","false","false","1034","010","25","30","06","1159087","1887743","2026","2026-05-14T15:42:45.000","41.847693928","-87.691636847","
,  
(41.847693928, -87.691636847)"
"14189300","JK244934","2026-05-06T21:31:00.000","007XX N PARKSIDE AVE","2024","NARCOTICS","POSSESS - HEROIN (WHITE)","ALLEY","true","false","1511","015","29","25","18","1138544","1904395","2026","2026-05-14T15:42:45.000","41.893785762","-87.766627645","
,  
(41.893785762, -87.766627645)"
"14189521","JK245285","2026-05-06T21:30:00.000","021XX S INDIANA AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","0132","001","3","33","06","1177977","1890072","2026","2026-05-14T15:42:45.000","41.853676611","-87.622239838","
,  
(41.853676611, -87.622239838)"
"14190152","JK245595","2026-05-06T21:30:00.000","002XX E 18TH ST","0810","THEFT","OVER $500","STREET","false","false","0132","001","3","33","06","1178054","1891614","2026","2026-05-14T15:42:45.000","41.857906209","-87.62191033","
,  
(41.857906209, -87.62191033)"
"14189340","JK244987","2026-05-06T21:30:00.000","039XX N PACIFIC AVE","1519","OFFENSE INVOLVING CHILDREN","DISTRIBUTION PHOTOGRAPH DEPICTING SEX ORGANS OF CHILD","RESIDENCE","false","false","1631","016","38","17","17","1121997","1925228","2026","2026-05-14T15:42:45.000","41.951238219","-87.826948788","
,  
(41.951238219, -87.826948788)"
"14190333","JK244967","2026-05-06T21:30:00.000","062XX W WRIGHTWOOD AVE","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","PARK PROPERTY","false","false","2512","025","30","19","04B","1134396","1916617","2026","2026-05-14T15:42:45.000","41.927398613","-87.781573368","
,  
(41.927398613, -87.781573368)"
"14189611","JK245362","2026-05-06T21:30:00.000","037XX N PINE GROVE AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1925","019","46","6","06","1170903","1925333","2026","2026-05-14T15:42:45.000","41.950592671","-87.647168629","
,  
(41.950592671, -87.647168629)"
"14189650","JK245378","2026-05-06T21:30:00.000","037XX S VINCENNES AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","0212","002","4","36","06","1180921","1880434","2026","2026-05-14T15:42:45.000","41.827161886","-87.611731628","
,  
(41.827161886, -87.611731628)"
"14189401","JK245011","2026-05-06T21:30:00.000","016XX W CULLERTON ST","3960","INTIMIDATION","INTIMIDATION","APARTMENT","false","false","1234","012","25","31","08A","1165785","1890471","2026","2026-05-14T15:42:45.000","41.855039846","-87.666977358","
,  
(41.855039846, -87.666977358)"
"14189293","JK244924","2026-05-06T21:30:00.000","002XX N MICHIGAN AVE","0460","BATTERY","SIMPLE","STREET","false","false","0114","001","42","32","08B","1177257","1901899","2026","2026-05-14T15:42:45.000","41.886146944","-87.624524028","
,  
(41.886146944, -87.624524028)"
"14189251","JK244897","2026-05-06T21:29:00.000","018XX S ASHLAND AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1234","012","25","31","14","1166010","1891275","2026","2026-05-14T15:42:45.000","41.8572413","-87.666128579","
,  
(41.8572413, -87.666128579)"
"14190270","JK245923","2026-05-06T21:20:00.000","033XX N OAKLEY AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","false","1921","019","32","5","08A","1160445","1922168","2026","2026-05-14T15:42:45.000","41.942131043","-87.685699286","
,  
(41.942131043, -87.685699286)"
"14189268","JK244898","2026-05-06T21:20:00.000","062XX S RACINE AVE","1822","NARCOTICS","MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS","STREET","true","false","0712","007","16","68","18","1169392","1863346","2026","2026-05-14T15:42:45.000","41.780528489","-87.654524631","
,  
(41.780528489, -87.654524631)"
"14189302","JK244930","2026-05-06T21:17:00.000","044XX W IRVING PARK RD","2022","NARCOTICS","POSSESS - COCAINE","STREET","true","false","1731","017","30","16","18","1145641","1926208","2026","2026-05-14T15:42:45.000","41.953511176","-87.740008114","
,  
(41.953511176, -87.740008114)"
"14189303","JK244911","2026-05-06T21:15:00.000","078XX S HALSTED ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true","0621","006","17","71","08B","1172325","1852947","2026","2026-05-14T15:42:45.000","41.751928332","-87.644077264","
,  
(41.751928332, -87.644077264)"
"14189319","JK244913","2026-05-06T21:15:00.000","078XX S HALSTED ST","0497","BATTERY","AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON","POLICE FACILITY / VEHICLE PARKING LOT","false","true","0621","006","17","71","04B","1172325","1852947","2026","2026-05-14T15:42:45.000","41.751928332","-87.644077264","
,  
(41.751928332, -87.644077264)"
"14189510","JK244923","2026-05-06T21:15:00.000","058XX S PRAIRIE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0232","002","20","40","14","1179041","1866277","2026","2026-05-14T15:42:45.000","41.788356975","-87.619060644","
,  
(41.788356975, -87.619060644)"
"14189285","JK244908","2026-05-06T21:09:00.000","041XX W SCHOOL ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","1731","017","30","16","08B","1148204","1921619","2026","2026-05-14T15:42:45.000","41.940869508","-87.730704811","
,  
(41.940869508, -87.730704811)"
"14189273","JK244903","2026-05-06T21:05:00.000","019XX W GARFIELD BLVD","5002","OTHER OFFENSE","OTHER VEHICLE OFFENSE","STREET","true","false","0715","007","16","67","26","1164182","1868054","2026","2026-05-14T15:42:45.000","41.793559117","-87.673492986","
,  
(41.793559117, -87.673492986)"
"14196296","JK244874","2026-05-06T21:02:00.000","015XX W ROOSEVELT RD","5011","OTHER OFFENSE","LICENSE VIOLATION","COMMERCIAL / BUSINESS OFFICE","false","false","1233","012","28","28","26",,,"2026","2026-05-14T15:42:45.000",,,
"14189331","JK244896","2026-05-06T21:01:00.000","010XX N ORLEANS ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","true","false","1823","018","27","8","15","1173716","1907473","2026","2026-05-14T15:42:45.000","41.901521838","-87.637361218","
,  
(41.901521838, -87.637361218)"
"14189298","JK244879","2026-05-06T21:00:00.000","0000X N WALLER AVE","0460","BATTERY","SIMPLE","APARTMENT","false","false","1513","015","29","25","08B","1138158","1899788","2026","2026-05-14T15:42:45.000","41.881150549","-87.768156756","
,  
(41.881150549, -87.768156756)"
"14190120","JK245979","2026-05-06T21:00:00.000","026XX N MILWAUKEE AVE","0810","THEFT","OVER $500","MOVIE HOUSE / THEATER","false","false","1412","014","35","22","06","1154226","1917645","2026","2026-05-14T15:42:45.000","41.929846247","-87.708678047","
,  
(41.929846247, -87.708678047)"
"14189296","JK244890","2026-05-06T21:00:00.000","085XX S PARNELL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0622","006","21","71","08B","1174120","1848252","2026","2026-05-14T15:42:45.000","41.739005004","-87.637638525","
,  
(41.739005004, -87.637638525)"
"14190005","JK245905","2026-05-06T21:00:00.000","047XX N MARMORA AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","1622","016","45","15","06","1136153","1930856","2026","2026-05-14T15:42:45.000","41.966440691","-87.774776027","
,  
(41.966440691, -87.774776027)"
"14195405","JK251782","2026-05-06T21:00:00.000","109XX S UNION AVE","1573","SEX OFFENSE","CRIMINAL SEXUAL ABUSE - SEXUAL PENETRATION","RESIDENCE","false","true","2233","022","21","49","17",,,"2026","2026-05-14T15:42:45.000",,,
"14189470","JK245092","2026-05-06T21:00:00.000","057XX S MENARD AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0811","008","13","56","07","1138694","1865890","2026","2026-05-14T15:42:45.000","41.788119544","-87.767009196","
,  
(41.788119544, -87.767009196)"
"14189336","JK244905","2026-05-06T20:54:00.000","104XX S CORLISS AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0512","005","9","50","08B","1183430","1835679","2026","2026-05-14T15:42:45.000","41.704291609","-87.603919042","
,  
(41.704291609, -87.603919042)"
"14190119","JK245585","2026-05-06T20:53:00.000","019XX N KENNETH AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","2533","025","26","20","14","1146415","1912436","2026","2026-05-14T15:42:45.000","41.915704817","-87.737514638","
,  
(41.915704817, -87.737514638)"
"14189277","JK244895","2026-05-06T20:51:00.000","054XX S MAY ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0934","009","16","61","08B","1169578","1868708","2026","2026-05-14T15:42:45.000","41.795238411","-87.653687327","
,  
(41.795238411, -87.653687327)"
"14189241","JK244889","2026-05-06T20:50:00.000","043XX N SHERIDAN RD","1330","CRIMINAL TRESPASS","TO LAND","SMALL RETAIL STORE","false","false","1915","019","46","3","26","1168812","1929247","2026","2026-05-14T15:42:45.000","41.96137851","-87.65474101","
,  
(41.96137851, -87.65474101)"
"14189299","JK244899","2026-05-06T20:38:00.000","071XX S JEFFERY BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0333","003","5","43","08B","1190777","1858173","2026","2026-05-14T15:42:45.000","41.765843381","-87.576291395","
,  
(41.765843381, -87.576291395)"
"14189274","JK244886","2026-05-06T20:38:00.000","007XX W 66TH PL","2017","NARCOTICS","MANUFACTURE / DELIVER - CRACK","STREET","true","false","0723","007","16","68","18","1172359","1860773","2026","2026-05-14T15:42:45.000","41.773403091","-87.643722755","
,  
(41.773403091, -87.643722755)"
